Name;Version;Vendor
AD Info Free Edition;1.7.92;Cjwdev
Adobe Acrobat 9 Pro - Italiano, Español, Nederlands, Português;9.0.0;Adobe Systems
Adobe Acrobat Reader DC - Español;17.009.20044;Adobe Systems Incorporated
Adobe Flash Player 17 ActiveX;17.0.0.188;Adobe Systems Incorporated
Adobe Flash Player 20 NPAPI;20.0.0.267;Adobe Systems Incorporated
Adobe SVG Viewer 3.0;3.0;
Agente de Red de Kaspersky Security Center 10;10.3.407;AO Kaspersky Lab
Apple Software Update;2.1.3.127;Apple Inc.
Archivos auxiliares de instalación de Microsoft SQL Server 2008;10.1.2731.0;Microsoft Corporation
Aspen Calc;12.8.0.0;AspenTech
Aspen Desktop Apps(64bit);12.8.0.0;AspenTech
Aspen IP.21 Browser Graphic Studio;12.8.0.0;AspenTech
Aspen Process Data;12.8.0.0;AspenTech
Aspen Process Explorer;12.8.0.0;AspenTech
Aspen Production Execution Manager;12.8.0.0;AspenTech
Aspen Production Record Manager;12.8.0.0;AspenTech
Aspen SQLplus;12.8.0.0;AspenTech
CDBurnerXP;4.5.7.6521;CDBurnerXP
Chromium;49.0.2581.0;Chromium
Cisco IP Communicator;8.6.6.0;Cisco Systems, Inc.
Cisco Unified Real-Time Monitoring Tool 11.0;11.0.0.0;Cisco Systems
Cisco WebEx Meetings;;Cisco WebEx LLC
Compatibilidad con Aplicaciones de Apple;2.3.6;Apple Inc.
CSR Harmony Wireless Software Stack;2.1.63.0;CSR Plc.
CutePDF Writer 3.0;3.0;Acro Software Inc.
DAEMON Tools Lite;10.2.0.0115;Disc Soft Ltd
DameWare Remote Support;11.2.84.0;SolarWinds
Dell Client Configuration Utility - Powered by Altiris;3.1.1230.0;Altiris
Dell Command | Configure;3.2.0.209;Dell Inc.
Directivas de Microsoft SQL Server 2008 R2;10.50.1600.1;Microsoft Corporation
Get Local Admins GUI;2.4.0;Cjwdev
Google Chrome;58.0.3029.110;Google Inc.
Google Drive;2.34.5075.1619;Google, Inc.
HTMLDOC;1.8.2700;Easy Software Products
IIS 8.0 Express;8.0.1557;Microsoft Corporation
IIS Express Application Compatibility Database for x64;;
IIS Express Application Compatibility Database for x86;;
ImageAssist;8.0.0.8;Dell Inc.
Intel(R) Processor Graphics;10.18.14.4432;Intel Corporation
Intel(R) USB 3.0 eXtensible Host Controller Driver;2.5.4.40;Intel Corporation
IRIS Firma factura;1.0.2;Iris-Ekamat
Java 8 Update 131;8.0.1310.11;Oracle Corporation
Juniper Networks Network Connect 7.4.0;7.4.0.33857;Juniper Networks
Juniper Networks, Inc. Setup Client;7.4.13.52059;Juniper Networks, Inc.
Juniper Networks, Inc. Setup Client 64-bit Activex Control;2.1.1.1;Juniper Networks, Inc.
Juniper Terminal Services Client;7.4.0.33857;Juniper Networks
Kaspersky Endpoint Security 10 para Windows;10.2.5.3201;Kaspersky Lab
ManageEngine Desktop Central 9 - Agent;9.0.132.W;ZohoCorp
Microsoft .NET Framework 1.1;1.1.4322;Microsoft
Microsoft .NET Framework 4.6.1;4.6.01055;Microsoft Corporation
Microsoft .NET Framework 4.6.1 (español);4.6.01055;Microsoft Corporation
Microsoft ASP.NET 2.0 AJAX Extensions 1.0;1.0.61025;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Report Viewer Redistributable 2008 SP1;;Microsoft Corporation
Microsoft Report Viewer Redistributable 2008 SP1 Language Pack - ESN;;Microsoft Corporation
Microsoft SQL Server 2008 R2 (64 bits);;Microsoft Corporation
Microsoft SQL Server 2008 R2 Native Client;10.50.1600.1;Microsoft Corporation
