Name;Version;Vendor
Adobe Flash Player 25 ActiveX;25.0.0.171;Adobe Systems Incorporated
Adobe Reader XI (11.0.05) - Español;11.0.05;Adobe Systems Incorporated
Adobe Shockwave Player 11.6;11.6.5.635;Adobe Systems, Inc
Adobe SVG Viewer 3.0;3.0;
Agente de Red de Kaspersky Security Center 10;10.3.407;AO Kaspersky Lab
Apple Software Update;2.1.3.127;Apple Inc.
Aspen Cim-IO Interfaces;7.0.0.0;AspenTech
Aspen InfoPlus.21;7.0.0.0;AspenTech
Aspen Process Data;7.0.0.0;AspenTech
Aspen Process Explorer;7.0.0.0;AspenTech
Aspen SLM Client Tools;2004;AspenTech
Aspen SQLplus;7.0.0.0;AspenTech
Autodesk DWG TrueView 2014;19.1.18.0;Autodesk
Compatibilidad con Aplicaciones de Apple;2.3.6;Apple Inc.
Compressor WinRAR;;
DWG TrueView 2013;19.0.55.0;Autodesk
Google Chrome;58.0.3029.110;Google Inc.
Google Drive;2.34.5075.1619;Google, Inc.
Google Earth;7.1.8.3036;Google
Google Toolbar for Internet Explorer;7.5.8231.2252;Google Inc.
Intel(R) Processor Graphics;9.17.10.2867;Intel Corporation
Java 7 Update 55;7.0.550;Oracle
Juniper Networks, Inc. Setup Client;7.4.10.45165;Juniper Networks, Inc.
Juniper Networks, Inc. Setup Client 64-bit Activex Control;2.1.1.1;Juniper Networks, Inc.
Juniper Networks, Inc. Setup Client Activex Control;2.1.1.1;Juniper Networks, Inc.
Juniper Terminal Services Client;7.4.0.30731;Juniper Networks
Kaspersky Endpoint Security 10 para Windows;10.2.4.674;Kaspersky Lab
ManageEngine Desktop Central 9 - Agent;9.0.132.W;ZohoCorp
McAfee Agent;5.0.2.132;McAfee, Inc.
Microsoft .NET Framework 1.1;1.1.4322;Microsoft
Microsoft .NET Framework 4 Client Profile;4.0.30319;Microsoft Corporation
Microsoft .NET Framework 4 Extended;4.0.30319;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022;9.0.21022;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
MSXML 4.0 SP2 (KB954430);4.20.9870.0;Microsoft Corporation
MSXML 4.0 SP2 (KB973688);4.20.9876.0;Microsoft Corporation
Navision Hierarchy;1.0.0;IRIS
Paquete de idioma de Microsoft .NET Framework 4 Client Profile ESN;4.0.30319;Microsoft Corporation
Power Vision v1.8c;1.8;
PrimoPDF -- brought to you by Nitro PDF Software;5;Nitro PDF Software
QuickTime 7;7.79.80.95;Apple Inc.
Realtek Ethernet Controller All-In-One Windows Driver;1.12.0019;Realtek
Safelayer formSign;;
SafeSign;3.0.40;A.E.T. Europe B.V.
Spanish Module for Microsoft Dynamics NAV Classic Client;6.0.32012.0;Microsoft Corporation
TCQ 2000;;
TeamViewer 11;11.0.66695;TeamViewer
VLC media player 2.0.5;2.0.5;VideoLAN
