Name;Version;Vendor
Adobe Acrobat 9 Pro - Italiano, Español, Nederlands, Português;9.0.0;Adobe Systems
Adobe Flash Player 19 ActiveX;19.0.0.245;Adobe Systems Incorporated
Adobe Reader XI (11.0.16)  MUI;11.0.16;Adobe Systems Incorporated
Adobe SVG Viewer 3.0;3.0;
Agente de Red de Kaspersky Security Center 10;10.3.407;AO Kaspersky Lab
Autodesk DWG TrueView 2014;19.1.18.0;Autodesk
Banco BEDEC 2012;;
Banco BEDEC 2013;;
Banco BEDEC 2014;;
Banco BEDEC 2015;;
Banco BEDEC 2017;;
CutePDF Writer 3.0;3.0;Acro Software Inc.
Dell Edoc Viewer;1.0.0;Dell Inc
Google Chrome;58.0.3029.110;Google Inc.
Google Drive;2.34.5075.1619;Google, Inc.
Instalable DNIe;12.0.1;Cuerpo Nacional de Policía
Intel(R) Management Engine Components;11.0.0.1167;Intel Corporation
Intel(R) Processor Graphics;10.18.15.4279;Intel Corporation
Intel(R) Rapid Storage Technology;14.8.1.1043;Intel Corporation
Intel(R) USB 3.0 eXtensible Host Controller Driver;4.0.2.42;Intel Corporation
Kaspersky Endpoint Security 10 para Windows;10.2.5.3201;Kaspersky Lab
Licencia BEDEC 2013;;
Licencia BEDEC 2014;;
Licencia BEDEC 2015;;
Licencia BEDEC 2017;;
McAfee Agent;5.0.2.132;McAfee, Inc.
Microsoft .NET Framework 1.1;1.1.4322;Microsoft
Microsoft .NET Framework 4.6.1;4.6.01055;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.6029.1000;Microsoft Corporation
Microsoft Visio Professional 2010;14.0.6029.1000;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Navision Hierarchy;1.0.0;IRIS
Realtek Audio COM Components;1.0.2;Realtek Semiconductor Corp.
Realtek High Definition Audio Driver;6.0.1.6076;Realtek Semiconductor Corp.
TCQ 2000;;
Windows Driver Package - Dirección General de la Policía (UMPass) SmartCard  (10/04/2015 1.0.2.4);10/04/2015 1.0.2.4;Dirección General de la Policía
WinRAR 5.10 (64-bit);5.10.0;win.rar GmbH
