Name;Version;Vendor
Actualización de Windows XP (KB943729);;Microsoft Corporation
Adobe Acrobat 6.0 Standard - English, Français, Deutsch;006.000.000;Adobe Systems
Adobe Flash Player ActiveX;9.0.115.0;Adobe Systems Incorporated
Adobe Reader XI (11.0.08) - Español;11.0.08;Adobe Systems Incorporated
Agente de Red de Kaspersky Security Center 10;10.3.407;AO Kaspersky Lab
AMD Processor Driver;1.3.2.0053;AMD
ATI - Utilidad de desinstalación de software;6.14.10.1014;
ATI Catalyst Control Center;1.2.2706.34144;
ATI Display Driver;8.261.4-060722a-035058C-HP;
ATI Problem Report Wizard;8.10;ATI Technologies
Autodesk DWG TrueView 2014;19.1.18.0;Autodesk
Broadcom Management Programs;9.03.02;Broadcom Corporation
Broadcom NetXtreme Ethernet Controller;9.02.07;Broadcom Corporation
Compressor WinRAR;;
Dual-Core Optimizer;1.1.2.0151;AMD
Google Chrome;37.0.2062.124;Google Inc.
Google Chrome;49.0.2623.112;Google Inc.
Hardcopy;;
High Definition Audio - KB888111;20040219.000000;Microsoft Corporation
Kaspersky Endpoint Security 10 para Windows;10.2.5.3201;Kaspersky Lab
LiveUpdate 2.0 (Symantec Corporation);2.0.39.0;Symantec Corporation
Lotus Notes 6.5 es;6.50.3261;IBM
McAfee Agent;5.0.2.132;McAfee, Inc.
Microsoft .NET Framework 1.1;1.1;
Microsoft .NET Framework 1.1 Spanish Language Pack;1.1.4322;Microsoft
Microsoft .NET Framework 2.0 Service Pack 2;2.2.30729;Microsoft Corporation
Microsoft .NET Framework 3.0 Service Pack 2;3.2.30729;Microsoft Corporation
Microsoft .NET Framework 3.5 SP1;3.5;Microsoft Corporation
Microsoft .NET Framework 4 Client Profile;4.0.30319;Microsoft Corporation
Microsoft .NET Framework 4 Extended;4.0.30319;Microsoft Corporation
Microsoft Compression Client Pack 1.0 for Windows XP;1;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Office Project Professional 2003;11.0.5614.0;Microsoft Corporation
Microsoft User-Mode Driver Framework Feature Pack 1.0;1.0;Microsoft Corporation
Microsoft Visio Premium 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
MSXML 6.0 Parser (KB933579);6.10.1200.0;Microsoft Corporation
Navision Hierarchy;1.0.0;IRIS
Nero 6 Ultra Edition;;
Nero BurnRights (Ahead Software);;
Paquete de idioma de Microsoft .NET Framework 2.0 - ESN;2.0;Microsoft Corporation
Paquete de idioma de Microsoft .NET Framework 4 Client Profile ESN;4.0.30319;Microsoft Corporation
Paquete de idioma de Microsoft .NET Framework 4 Extended ESN;4.0.30319;Microsoft Corporation
Paquete de idioma para español de Microsoft .NET Framework 3.0;3.0;Microsoft Corporation
Paquete de proveedor base de servicios de cifrado para tarjetas inteligentes de Microsoft;;Microsoft Corporation
Proveedor OLEDB de Microsoft SQL Server 2005 Analysis Services 9.0;9.00.3042.00;Microsoft Corporation
Realtek High Definition Audio Driver;5.10.0.5307;Realtek Semiconductor Corp.
Reproductor de Windows Media 11;;
Windows Genuine Advantage Validation Tool (KB892130);;Microsoft Corporation
Windows Internet Explorer 8;20090308.140743;Microsoft Corporation
Windows Media Format 11 runtime;;
Windows XP Service Pack 3;20080414.031514;Microsoft Corporation
