Name;Version;Vendor
Adobe Acrobat Reader DC - Español;17.009.20044;Adobe Systems Incorporated
Adobe Flash Player 25 ActiveX;25.0.0.171;Adobe Systems Incorporated
Adobe SVG Viewer 3.0;3.0;
Agente de Red de Kaspersky Security Center 10;10.3.407;AO Kaspersky Lab
Aplicación Verificación Firma e-Factura;;
Autodesk DWG TrueView 2014;19.1.18.0;Autodesk
Citrix Online Launcher;1.0.362;Citrix
Compressor WinRAR;;
Crystal Reports Basic Runtime for Visual Studio 2008;10.5.0.0;Business Objects
CutePDF Writer 3.0;3.0;CutePDF.com
Dell Edoc Viewer;1.0.0;Dell Inc
Google Chrome;58.0.3029.110;Google Inc.
Google Drive;2.34.5075.1619;Google, Inc.
Google Toolbar for Internet Explorer;7.5.8231.2252;Google Inc.
GoToMeeting 8.5.0.6956;8.5.0.6956;CitrixOnline
Inmagic DB/TextWorks for SQL Setup Workstation 12.0;12.00;Inmagic, Inc.
Instalable DNIe;11.2.0;Cuerpo Nacional de Policía
Intel Security True Key;4.16.112.1;Intel Security
Intel(R) Management Engine Components;9.5.13.1706;Intel Corporation
Intel(R) Processor Graphics;9.18.10.3234;Intel Corporation
Intel(R) USB 3.0 eXtensible Host Controller Driver;2.5.0.19;Intel Corporation
IRIS Firma factura;1.0.2;Iris-Ekamat
Java 7 Update 17 (64-bit);7.0.170;Oracle
Java 7 Update 51;7.0.510;Oracle
JSignPdf 1.6.0;1.6.0;Josef Cacek
Juniper Networks Network Connect 7.4.0;7.4.0.33857;Juniper Networks
Juniper Networks, Inc. Setup Client;7.4.13.52059;Juniper Networks, Inc.
Juniper Networks, Inc. Setup Client 64-bit Activex Control;2.1.1.1;Juniper Networks, Inc.
Juniper Networks, Inc. Setup Client Activex Control;2.1.1.1;Juniper Networks, Inc.
Juniper Terminal Services Client;7.4.0.33857;Juniper Networks
Kaspersky Endpoint Security 10 para Windows;10.2.5.3201;Kaspersky Lab
Kofax Capture 10.2;10.2;Kofax, Inc.
Kofax Capture 10.2 - Workstation (Uninstall);10.2;
Kofax Transformation Modules 6.0;6.0.2;Kofax, Inc.
Kofax VRS Component Panasonic KV-S2028C;4.50.032;Kofax, Inc.
ManageEngine Desktop Central 9 - Agent;9.0.132.W;ZohoCorp
Microsoft .NET Framework 1.1;1.1.4322;Microsoft
Microsoft .NET Framework 4.5;4.5.50709;Microsoft Corporation
Microsoft Access database engine 2010 (English);14.0.6029.1000;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Office SharePoint Designer 2007;12.0.4518.1014;Microsoft Corporation
Microsoft Visio Premium 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable;8.0.61001;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570;9.0.30729.5570;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17;9.0.30729;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161;9.0.30729.6161;Microsoft Corporation
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030;11.0.61030.0;Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501;12.0.30501.0;Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501;12.0.30501.0;Microsoft Corporation
Módulo de cifrado AES (256 bits);1.1.0.73;Kaspersky Lab UK Ltd
Navision Hierarchy;1.0.0;IRIS
Realtek High Definition Audio Driver;6.0.1.5987;Realtek Semiconductor Corp.
Safelayer formSign;;
SafeSign;3.0.40;A.E.T. Europe B.V.
Shared C Run-time for x64;10.0.0;McAfee
Software de cámara Web Logitech;2.40;Logitech Inc.
Spanish Module for Microsoft Dynamics NAV Classic Client;6.0.32012.0;Microsoft Corporation
TeamViewer 9;9.0.41110;TeamViewer
Windows Driver Package - Dirección General de la Policía (UMPass) SmartCard  (04/09/2014 1.0.2.2);04/09/2014 1.0.2.2;Dirección General de la Policía
