Name;Version;Vendor
Accord ActiveX Chemistry Control 4.0 Runtime;4.0;
Actualización de Windows XP (KB943729);;Microsoft Corporation
Adobe Acrobat 9 Pro - Italiano, Español, Nederlands, Português;9.0.0;Adobe Systems
Adobe Flash Player 12 ActiveX;12.0.0.70;Adobe Systems Incorporated
Adobe Reader XI (11.0.06) - Español;11.0.06;Adobe Systems Incorporated
Adobe SVG Viewer 3.0;3.0;
Agente de Red de Kaspersky Security Center 10;10.3.407;AO Kaspersky Lab
Aspen Process Data;11.3.0.0;AspenTech
Aspen Process Explorer;11.3;AspenTech
Aspen SQLplus;11.3.0.0;AspenTech
aspenONE Diagnostics;1.2.0.64;AspenTech
Autodesk DWG TrueView 2014;19.1.18.0;Autodesk
Brother MFL-Pro Suite;1.00;Brother Industries, Ltd.
Brother MFL-Pro Suite DCP-J4120DW;1.0.5.0;Brother Industries, Ltd.
Cisco WebEx Meetings;;Cisco WebEx LLC
Compressor WinRAR;;
CutePDF Writer 3.0;3.0;CutePDF.com
Google Chrome;49.0.2623.112;Google Inc.
Google Drive;2.34.5075.1619;Google, Inc.
Google Earth;7.1.8.3036;Google
Hardcopy;2014.01.27;www.hardcopy.de
Intel(R) Graphics Media Accelerator Driver;;Intel Corporation
Java 8 Update 91;8.0.910.14;Oracle Corporation
Kaspersky Endpoint Security 10 para Windows;10.2.5.3201;Kaspersky Lab
LoggerNet 4.3;4.3;Campbell Scientific
McAfee Agent;5.0.2.132;McAfee, Inc.
Microsoft .NET Framework 1.1;1.1;
Microsoft .NET Framework 1.1 Spanish Language Pack;1.1.4322;Microsoft
Microsoft .NET Framework 2.0 Service Pack 2;2.2.30729;Microsoft Corporation
Microsoft .NET Framework 2.0 Service Pack 2 Language Pack - ESN;2.2.30729;Microsoft Corporation
Microsoft .NET Framework 3.0 Service Pack 2;3.2.30729;Microsoft Corporation
Microsoft .NET Framework 3.0 Service Pack 2 Language Pack - ESN;3.2.30729;Microsoft Corporation
Microsoft .NET Framework 3.5 SP1;3.5;Microsoft Corporation
Microsoft .NET Framework 4 Client Profile;4.0.30319;Microsoft Corporation
Microsoft .NET Framework 4 Extended;4.0.30319;Microsoft Corporation
Microsoft Compression Client Pack 1.0 for Windows XP;1;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Report Viewer Redistributable 2008 SP1;;Microsoft Corporation
Microsoft User-Mode Driver Framework Feature Pack 1.0;1.0;Microsoft Corporation
Microsoft Visio Premium 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable;8.0.61001;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Nautilus 8.1;8.1;
Navision Hierarchy;1.0.0;IRIS
Oracle Data Provider for .NET Help;10.2.020;Oracle Corporation
Paquete de idioma de Microsoft .NET Framework 3.5 SP1 - esn;3.5;Microsoft Corporation
Paquete de idioma de Microsoft .NET Framework 4 Client Profile ESN;4.0.30319;Microsoft Corporation
Paquete de idioma de Microsoft .NET Framework 4 Extended ESN;4.0.30319;Microsoft Corporation
Paquete de proveedor base de servicios de cifrado para tarjetas inteligentes de Microsoft;;Microsoft Corporation
REALTEK GbE & FE Ethernet PCI-E NIC Driver;1.30.0000;Realtek
Realtek High Definition Audio Driver;5.10.0.5678;Realtek Semiconductor Corp.
Reproductor de Windows Media 11;;
Windows Genuine Advantage Validation Tool (KB892130);;Microsoft Corporation
Windows Internet Explorer 8;20090308.140743;Microsoft Corporation
Windows Management Framework Core;;Microsoft Corporation
Windows Media Format 11 runtime;;
