Name;Version;Vendor
Actualizacion_Enernova_2048_STD;2.048;Ingenova Tecnología
Actualizacion_Enernova_302;3.02;Ingenova Tecnología
Adobe Acrobat 9 Pro - Italiano, Español, Nederlands, Português;9.5.5;Adobe Systems
Adobe Flash Player 11 ActiveX;11.5.502.110;Adobe Systems Incorporated
Adobe Reader XI (11.0.10) - Español;11.0.10;Adobe Systems Incorporated
Adobe Shockwave Player 12.1;12.1.1.151;Adobe Systems, Inc.
Adobe SVG Viewer 3.0;3.0;
Aspen Cim-IO Interfaces;7.0.0.0;AspenTech
Aspen InfoPlus.21;7.0.0.0;AspenTech
Aspen Process Data;7.0.0.0;AspenTech
Aspen Process Explorer;7.0.0.0;AspenTech
Aspen SLM Client Tools;2004;AspenTech
Aspen SQLplus;7.0.0.0;AspenTech
Autodesk DWG TrueView 2014;19.1.18.0;Autodesk
Banc BEDEC 2012;;
Banc BEDEC 2013;;
Banc BEDEC 2014;;
Banc BEDEC 2016;;
Banco BEDEC 2017;;
Citrix Online Launcher;1.0.223;Citrix
Compressor WinRAR;;
Configurador AEAT;2.5;AEAT
Configurador AEAT;2.8;AEAT
DisplayLink Core Software;6.3.40660.0;DisplayLink Corp.
DWG TrueView 2013;19.0.55.0;Autodesk
Enernova;1.0527;Ingenova Tecnología
Epanet 2.0 vE;2.0;
Folder Colorizer version 1.3.3;1.3.3;Softorino
Google Chrome;55.0.2883.87;Google Inc.
Google Drive;1.17.7290.4094;Google, Inc.
Google Earth;7.1.2.2041;Google
Google Toolbar for Internet Explorer;7.5.5111.1712;Google Inc.
GoToMeeting 8.5.0.6956;8.5.0.6956;CitrixOnline
Hardcopy;2013.02.18;www.hardcopy.de
Inptools;2.0.12.1;Steffen Macke
Instalable DNIe;13.1.0;Cuerpo Nacional de Policía
IrfanView (remove only);4.27;Irfan Skiljan
Java 8 Update 45;8.0.450;Oracle Corporation
Java 8 Update 45 (64-bit);8.0.450;Oracle Corporation
Juniper Networks Network Connect 7.1.0;7.1.0.19525;Juniper Networks
Kaspersky Endpoint Security 10 para Windows;10.2.5.3201;Kaspersky Lab
Kensington Display Adapter;6.1.35912.0;Kensington Computer Products Group
Licencia BEDEC 2017;;
Llicència BEDEC 2013;;
Llicència BEDEC 2014;;
Llicència BEDEC 2015;;
ManageEngine Desktop Central 9 - Agent;9.0.132.W;ZohoCorp
McAfee Agent;5.0.2.132;McAfee, Inc.
Microsoft .NET Framework 1.1;1.1.4322;Microsoft
Microsoft .NET Framework 4 Client Profile;4.0.30319;Microsoft Corporation
Microsoft .NET Framework 4 Extended;4.0.30319;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Silverlight;5.1.20513.0;Microsoft Corporation
Microsoft SQL Server Compact 4.0 SP1 x64 ENU CTP1;4.0.8854.1;Microsoft Corporation
Microsoft Visio Premium 2010;14.0.4763.1000;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022;9.0.21022;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030;11.0.61030.0;Microsoft Corporation
MSXML 4.0 SP2 (KB954430);4.20.9870.0;Microsoft Corporation
MSXML 4.0 SP2 (KB973688);4.20.9876.0;Microsoft Corporation
Navision Hierarchy;1.0.0;IRIS
PrimoPDF -- brought to you by Nitro PDF Software;5;Nitro PDF Software
Product Selection Toolbox Software;13.04.011;Rockwell Automation
Renta 2013 1.21;1.21;AEAT
Renta 2014 1.10;1.10;AEAT
Safelayer formSign;;
SafeSign;3.0.40;A.E.T. Europe B.V.
Simplified Office Software - Voltage Drop Calculator 3.01;3.01;Simplified Office Software Systems
Spanish Module for Microsoft Dynamics NAV Classic Client;6.0.32012.0;Microsoft Corporation
SugarSync;3.7.0.14.141281;SugarSync, Inc.
SW-Sustainer 1.80;1.80;Certified Publisher
TCQ 2000;;
VLC media player 2.0.3;2.0.3;VideoLAN
Windows Driver Package - Dirección General de la Policía (UMPass) SmartCard  (12/15/2016 1.0.2.5);12/15/2016 1.0.2.5;Dirección General de la Policía
WinRAR 5.10 (64-bit);5.10.0;win.rar GmbH
Xerox Font Management Utility;2.3.3.11;Xerox
