Name;Version;Vendor
Actualización de Windows XP (KB943729);;Microsoft Corporation
Adobe Flash Player 10 ActiveX;10.0.45.2;Adobe Systems Incorporated
Adobe Reader 9.4.1 - Español;9.4.1;Adobe Systems Incorporated
Adobe SVG Viewer 3.0;3.0;
Agente de Red de Kaspersky Security Center 10;10.3.407;AO Kaspersky Lab
Broadcom NetXtreme-I Netlink Driver and Management Installer;12.25.02;Broadcom Corporation
CDBurnerXP;4.3.7.2423;CDBurnerXP
Compressor WinRAR;;
CutePDF Writer 2.3;2.3;
Dell ControlPoint Security Manager;1.6.326.57;Dell Inc.
Dell Security Device Driver Pack;1.3.039;Dell Inc.
DWG TrueView 2008;17.1.65.0;
Google Chrome;49.0.2623.112;Google Inc.
Hardcopy;;
Intel(R) Graphics Media Accelerator Driver;;Intel Corporation
Java(TM) 6 Update 22;6.0.220;Sun Microsystems, Inc.
K-Lite Codec Pack 2.81 Full;2.81;
Kaspersky Endpoint Security 10 para Windows;10.2.5.3201;Kaspersky Lab
ManageEngine Desktop Central 9 - Agent;9.0.132.W;ZohoCorp
Microsoft .NET Framework 1.1;1.1;
Microsoft .NET Framework 1.1 Spanish Language Pack;1.1.4322;Microsoft
Microsoft .NET Framework 2.0 Service Pack 2;2.2.30729;Microsoft Corporation
Microsoft .NET Framework 2.0 Service Pack 2 Language Pack - ESN;2.2.30729;Microsoft Corporation
Microsoft .NET Framework 3.0 Service Pack 2;3.2.30729;Microsoft Corporation
Microsoft .NET Framework 3.0 Service Pack 2 Language Pack - ESN;3.2.30729;Microsoft Corporation
Microsoft .NET Framework 3.5 SP1;3.5;Microsoft Corporation
Microsoft .NET Framework 4 Client Profile;4.0.30319;Microsoft Corporation
Microsoft .NET Framework 4 Extended;4.0.30319;Microsoft Corporation
Microsoft Compression Client Pack 1.0 for Windows XP;1;Microsoft Corporation
Microsoft Dynamics NAV 5.0 SP1 CSIDE Client;5.0.26084.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.7015.1000;Microsoft Corporation
Microsoft User-Mode Driver Framework Feature Pack 1.0;1.0;Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable;8.0.61001;Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual Studio 2010 Tools for Office Runtime (x86);10.0.50903;Microsoft Corporation
MSXML 4.0 SP2 (KB954430);4.20.9870.0;Microsoft Corporation
MSXML 4.0 SP2 (KB973688);4.20.9876.0;Microsoft Corporation
MSXML 4.0 SP3 Parser (KB2758694);4.30.2117.0;Microsoft Corporation
MSXML 4.0 SP3 Parser (KB973685);4.30.2107.0;Microsoft Corporation
MSXML 6.0 Parser (KB927977);6.00.3890.0;Microsoft Corporation
Oracle Data Provider for .NET Help;10.1.010;Oracle Corporation
Paquete de controladores de Windows - Dell Inc. PBADRV System  (01/07/2008 1.0.1.5);01/07/2008 1.0.1.5;Dell Inc.
Paquete de idioma de Microsoft .NET Framework 3.5 SP1 - esn;3.5;Microsoft Corporation
Paquete de idioma de Microsoft Visual Studio 2010 Tools para Office Runtime (x86) - ESN;10.0.50903;Microsoft Corporation
Paquete de proveedor base de servicios de cifrado para tarjetas inteligentes de Microsoft;;Microsoft Corporation
PowerDVD DX;8.2.5024;Dell Corp.
Realtek High Definition Audio Driver;;Realtek Semiconductor Corp.
Reproductor de Windows Media 11;;
Revisión para Windows XP (KB969084);3;Microsoft Corporation
Security Update for Windows Search 4 - KB963093;;Microsoft Corporation
Symantec LiveState Recovery Advanced Server 6.0;6.02.0.13544;Symantec
VLC media player 1.1.4;1.1.4;VideoLAN
Windows Driver Package - STMicroelectronics (stmtpm) System  (05/24/2007 1.00.04.15);05/24/2007 1.00.04.15;STMicroelectronics
Windows Genuine Advantage Validation Tool (KB892130);;Microsoft Corporation
Windows Internet Explorer 8;20090308.140743;Microsoft Corporation
Windows Management Framework Core;;Microsoft Corporation
Windows Media Format 11 runtime;;
