Name;Version;Vendor
Adobe Flash Player 25 ActiveX;25.0.0.171;Adobe Systems Incorporated
Adobe Reader XI (11.0.19);11.0.19;Adobe Systems Incorporated
Adobe SVG Viewer 3.0;3.0;
Agente de Red de Kaspersky Security Center 10;10.3.407;AO Kaspersky Lab
AODocs - Universal File Opener Client;0.10.1;Altirnao
Aspen Calc;12.8.0.0;AspenTech
Aspen Desktop Apps(64bit);12.8.0.0;AspenTech
Aspen IP.21 Browser Graphic Studio;12.8.0.0;AspenTech
Aspen Process Data;12.8.0.0;AspenTech
Aspen Process Explorer;12.8.0.0;AspenTech
Aspen Production Execution Manager;12.8.0.0;AspenTech
Aspen Production Record Manager;12.8.0.0;AspenTech
Aspen SQLplus;12.8.0.0;AspenTech
Autodesk Advanced Material Library Image Library 2016;6.3.0.15;Autodesk
Autodesk Application Manager;5.0.142.14;Autodesk
Autodesk AutoCAD LT 2016 - Español (Spanish);20.1.49.0;Autodesk
Autodesk Content Service;3.2.0.0;Autodesk
Autodesk Material Library 2016;6.3.0.15;Autodesk
Autodesk Material Library Base Resolution Image Library 2016;6.3.0.15;Autodesk
Compressor WinRAR;;
DWG TrueView 2013;19.0.55.0;Autodesk
Google Chrome;58.0.3029.110;Google Inc.
Google Talk Plugin;5.41.3.0;Google
Google Toolbar for Internet Explorer;7.5.8231.2252;Google Inc.
HTMLDOC;1.8.2700;Easy Software Products
Intel(R) Processor Graphics;9.17.10.2932;Intel Corporation
Java 8 Update 121;8.0.1210.13;Oracle Corporation
Kaspersky Endpoint Security 10 para Windows;10.2.5.3201;Kaspersky Lab
ManageEngine Desktop Central 9 - Agent;9.0.132.W;ZohoCorp
Microsoft .NET Framework 1.1;1.1.4322;Microsoft
Microsoft .NET Framework 4.5.1;4.5.50938;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Lync 2010 Attendee;4.0.7577.4446;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.7015.1000;Microsoft Corporation
Microsoft Visio Premium 2010;14.0.7015.1000;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022;9.0.21022;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17;9.0.30729;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161;9.0.30729.6161;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17;9.0.30729;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161;9.0.30729.6161;Microsoft Corporation
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030;11.0.61030.0;Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610;11.0.60610.1;Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030;11.0.61030.0;Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005;12.0.21005.1;Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005;12.0.21005.1;Microsoft Corporation
Microsoft Visual Studio 2010 Tools for Office Runtime (x64);10.0.40303;Microsoft Corporation
MSXML 4.0 SP2 (KB954430);4.20.9870.0;Microsoft Corporation
Navision Hierarchy;1.0.0;IRIS
OPC Core Components Redistributable (x86) 105.1;3.00.10501;OPC Foundation
Paquete de idioma de Microsoft Visual Studio 2010 Tools para Office Runtime (x64) - ESN;10.0.40303;Microsoft Corporation
PrimoPDF -- brought to you by Nitro PDF Software;5;Nitro PDF Software
Safelayer formSign;;
SafeSign;3.0.40;A.E.T. Europe B.V.
Skype for Business Web App Plug-in;16.2.0.5;Microsoft Corporation
Visual Studio Tools for the Office system 3.0 Runtime;3.0;Microsoft Corporation
VLC media player;2.1.5;VideoLAN
