Name;Version;Vendor
Adobe Acrobat 9 Pro - Italiano, Español, Nederlands, Português;9.0.0;Adobe Systems
Adobe Flash Player 25 ActiveX;25.0.0.171;Adobe Systems Incorporated
Adobe Reader XI  MUI;11.0.00;Adobe Systems Incorporated
Adobe Reader XI (11.0.10) - Español;11.0.10;Adobe Systems Incorporated
Adobe SVG Viewer 3.0;3.0;
Agente de Red de Kaspersky Security Center 10;10.3.407;AO Kaspersky Lab
Aspen InfoPlus.21;7.0.0.0;AspenTech
Aspen Process Data;7.0.0.0;AspenTech
Aspen Process Explorer;7.0.0.0;AspenTech
Autodesk DWG TrueView 2015 - English;20.0.210.0;Autodesk
b-PAC 3.0 Client Component;3.0.016;Brother Industries, Ltd.
Brother b-PAC3 SDK (64bit);3.1.003;Brother Industries, Ltd.
Brother MFL-Pro Suite MFC-8890DW;1.0.5.0;Brother Industries, Ltd.
Brother P-touch Editor 5.1;5.1.0500;Brother Industries, Ltd.
CutePDF Writer 3.0;3.0;Acro Software Inc.
Dell Edoc Viewer;1.0.0;Dell Inc
GANES 3.2.0;3.2.0;Correos
Google Chrome;58.0.3029.110;Google Inc.
GPCN;;Aplicaciones y Proyectos Informáticos S.A
Instalable DNIe;11.4.0;Cuerpo Nacional de Policía
Intel(R) Management Engine Components;9.5.13.1706;Intel Corporation
Intel(R) Processor Graphics;9.18.10.3234;Intel Corporation
Intel(R) USB 3.0 eXtensible Host Controller Driver;2.5.4.40;Intel Corporation
Java 8 Update 65;8.0.650.17;Oracle Corporation
Kaspersky Endpoint Security 10 para Windows;10.2.5.3201;Kaspersky Lab
Kofax Express;3.10.0216;Kofax, Inc.
KV-S2026C S2046C S2028C S2048C ISIS Driver;5.1.11202.14001;Panasonic System Networks Co., Ltd.
KV-S2048C S2046C S2028C S2026C TWAIN Driver;10.0;Panasonic System Networks Co., Ltd.
ManageEngine Desktop Central 9 - Agent;9.0.132.W;ZohoCorp
McAfee Agent;5.0.2.132;McAfee, Inc.
Microsoft .NET Framework 1.1;1.1.4322;Microsoft
Microsoft .NET Framework 4.5.2;4.5.51209;Microsoft Corporation
Microsoft .NET Framework 4.5.2 (español);4.5.51209;Microsoft Corporation
Microsoft Access database engine 2010 (English);14.0.6029.1000;Microsoft Corporation
Microsoft Dynamics NAV 2009 Classic;6.0.32012.0;Microsoft Corporation
Microsoft Office Professional Plus 2010;14.0.7015.1000;Microsoft Corporation
Microsoft Visio Premium 2010;14.0.7015.1000;Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable;8.0.61001;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17;9.0.30729;Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;9.0.30729.4148;Microsoft Corporation
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030;11.0.61030.0;Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030;11.0.61030.0;Microsoft Corporation
Microsoft Visual Studio 2010 Tools for Office Runtime (x64);10.0.50903;Microsoft Corporation
Microsoft WSE 3.0 Runtime;3.0.5305.0;Microsoft Corp.
MSXML 4.0 SP2 (KB954430);4.20.9870.0;Microsoft Corporation
MSXML 4.0 SP2 (KB973688);4.20.9876.0;Microsoft Corporation
Navision Hierarchy;1.0.0;IRIS
Panasonic Document Scanner Device Driver 5.6;5.6;Panasonic System Networks Co., Ltd.
Panasonic Escáner Utilidad de usuario;6.8;Panasonic System Networks Co., Ltd.
Paquete de idioma de Microsoft Visual Studio 2010 Tools para Office Runtime (x64) - ESN;10.0.50903;Microsoft Corporation
Realtek High Definition Audio Driver;6.0.1.5987;Realtek Semiconductor Corp.
TBSGESTLABEL;3.0.0.5;Technology for Business Solutions
TBSGESTLABEL - 1;3.0.0.5;Technology for Business Solutions
VLC media player;2.1.5;VideoLAN
Windows Driver Package - Dirección General de la Policía (UMPass) SmartCard  (01/22/2015 1.0.2.3);01/22/2015 1.0.2.3;Dirección General de la Policía
WinRAR 5.10 (64-bit);5.10.0;win.rar GmbH
